service_id,route_id,departure_time,arrival_time,priority,assigned_train,predicted_risk,status
S01,R01,2026-09-10 06:00:00,2026-09-10 08:30:00,High,T07,0,Assigned
S02,R02,2026-09-10 07:00:00,2026-09-10 12:00:00,High,T10,1,Assigned
S13,R05,2026-09-10 08:00:00,2026-09-10 13:00:00,High,T04,0,Assigned
S03,R04,2026-09-10 09:00:00,2026-09-10 11:30:00,Medium,T02,1,Assigned
S05,R01,2026-09-10 10:00:00,2026-09-10 12:30:00,Medium,T07,0,Assigned
S04,R05,2026-09-10 13:00:00,2026-09-10 18:00:00,High,T04,0,Assigned
S06,R02,2026-09-10 14:00:00,2026-09-10 19:00:00,High,T01,1,Assigned
S14,R04,2026-09-10 14:00:00,2026-09-10 16:30:00,Medium,T06,1,Assigned
S07,R04,2026-09-10 15:00:00,2026-09-10 17:30:00,Medium,T02,1,Assigned
S09,R01,2026-09-10 16:00:00,2026-09-10 18:30:00,Medium,T09,1,Assigned
S15,R01,2026-09-10 18:00:00,2026-09-10 20:30:00,Medium,T07,0,Assigned
S08,R05,2026-09-10 18:30:00,2026-09-10 23:30:00,High,T04,0,Assigned
S10,R02,2026-09-10 19:00:00,2026-09-11 00:00:00,High,T01,1,Assigned
S11,R04,2026-09-10 20:00:00,2026-09-10 22:30:00,Low,T06,1,Assigned
S12,R01,2026-09-10 21:00:00,2026-09-10 23:30:00,Low,T07,0,Assigned
