service_id,route_id,service_date,departure_time,arrival_time,required_capacity,priority
S01,R01,2026-09-10,06:00,08:30,700,High
S02,R02,2026-09-10,07:00,12:00,850,High
S03,R04,2026-09-10,09:00,11:30,700,Medium
S04,R05,2026-09-10,13:00,18:00,800,High
S05,R01,2026-09-10,10:00,12:30,650,Medium
S06,R02,2026-09-10,14:00,19:00,900,High
S07,R04,2026-09-10,15:00,17:30,650,Medium
S08,R05,2026-09-10,18:30,23:30,700,High
S09,R01,2026-09-10,16:00,18:30,750,Medium
S10,R02,2026-09-10,19:00,00:00,850,High
S11,R04,2026-09-10,20:00,22:30,700,Low
S12,R01,2026-09-10,21:00,23:30,650,Low
S13,R05,2026-09-10,08:00,13:00,900,High
S14,R04,2026-09-10,14:00,16:30,700,Medium
S15,R01,2026-09-10,18:00,20:30,700,Medium
